id,name,createdAt,updatedAt
1,tesseract,2025-05-18 10:57:59+00,2025-05-18 10:58:04+00
2,chatGpt,2025-05-18 10:58:20+00,2025-05-18 10:58:25+00
3,googleVision,2025-05-18 10:58:38+00,2025-05-18 10:58:42+00
